id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
630566,Clouds,"Music,Drama,Romance",en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",21.826,2020-10-09,8.3,855
207,Dead Poets Society,Drama,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",32.638,1989-06-02,8.3,9250
3082,Modern Times,"Comedy,Drama",en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,15.754,1936-02-05,8.3,2993
527641,Five Feet Apart,"Romance,Drama",en,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",98.531,2019-03-14,8.3,4819
101,Léon: The Professional,"Crime,Drama,Action",en,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",55.424,1994-09-14,8.3,12278
335,Once Upon a Time in the West,"Drama,Western",it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",21.526,1968-12-21,8.3,3443
556574,Hamilton,"History,Drama",en,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",11.644,2020-07-03,8.3,982
975,Paths of Glory,"Drama,War",en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,11.774,1957-10-25,8.3,2226
618344,Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction",en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",41.778,2020-05-05,8.3,1189
105,Back to the Future,"Adventure,Comedy,Science Fiction,Family",en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",54.325,1985-07-03,8.3,16765
